x,y,z
3078002.175,1416002.26585,806
3078101.8,1416175.395,818
3078092.005,1416166.1600000001,816
3078068.5300000003,1416129.705,810
3078008.085,1416008.3213,808
3080781.6946,1416304.2252,936
3080806.45,1416589,936
3080183.3,1416007.5899999999,934
3082564.67,1416074.245,838
3079213.665,1416020.335,870
3079234.46,1416003.6600000001,874
3079221.475,1416015.8199999998,872
3079089.4000000004,1416001.69,866
3079054.7649999997,1416002.4449999998,866
3079003.41,1416005.2,866
3079074.015,1416015.685,862
3078986.59,1416026.25,862
3079088.965,1416005.935,864
3079059.1100000003,1416007.575,864
3078989.6799999997,1416016.125,864
3079019.8449999997,1416041.17,860
3078863.865,1416009.165,860
3083227.115,1416026.55,854
3083231.545,1416002.05,856
3081402.02,1416003,854
3083195.9,1416138.155,850
3083210.13,1416080.605,852
3083704.835,1416004.6949999998,852
3081693.875,1416007.345,850
3081613.0549999997,1416002.0550000002,850
3083201.85,1416176.9,848
3081412.585,1416014.225,852
3078494.92,1416000.75,828
3081535.925,1416007.22,848
3083701.0,1416029.49,850
3081336.0,1416014.435,850
3081336.465,1416010.3050000002,848
3083703.2199999997,1416048.1800000002,848
3083699.17,1416066.87,846
3081335.7,1416006.625,846
3083196.17,1416227.02,846
3081822.6950000003,1416001.45,842
3083177.38,1416250.6099999999,844
3083970.3600000003,1416001.8599999999,844
3083697.335,1416091.6600000001,844
3082572.2,1416010,844
3083700.895,1416107.355,842
3082583.1100000003,1416029.8399999999,842
3082577.8200000003,1416048.85,840
3082147.91,1416003.49,838
3082149.34,1416015.885,836
3082159.1399999997,1416156.08,836
3082320.26,1416147.3199999998,834
3081992.96,1416080.685,834
3082318.77,1416132.9849999999,832
3082017.485,1416065.17,830
3082758.44,1416210.3199999998,830
3082230.985,1416001.6400000001,830
3082318.92,1416094.815,830
3081997.95,1416072.76,832
3082320.455,1416052.49,828
3082032.54,1416048.53,828
3082774.295,1416103.855,826
3082772.6799999997,1416093.37,824
3082776.87,1416062.885,822
3078316.4050000003,1416059.72,820
3082781.205,1416056.7149999999,820
3078337.385,1416056.74,818
3078338.99,1416054.105,816
3078116.58,1416002.76,814
3084389.81,1416004.8599999999,856
3084252.99,1416010.125,856
3078344.0703,1416067.69,824
3078211.145,1416190.0699999998,822
3078115.66,1416181.625,820
3078086.7199999997,1416155.475,814
3078076.925,1416143.88,812
3084286.74,1416048.505,854
3085616.97,1416008.335,840
3085772.865,1416108.405,838
3085587.425,1416059.29,838
3085911.54,1416317.425,836
3085552.3200000003,1416093.3199999998,836
3085792.705,1416040.71,838
3085825.175,1416069.8599999999,836
3085834.04,1416097.53,834
3086277.24,1416280.62,814
3086181.335,1416011.865,814
3086248.245,1416122.83,812
3086301.025,1416001.81,812
3080414.27,1416363.75495,932
3080803.05445,1416160.23435,932
3080786.55,1416636.48,934
3080850.1114999996,1416297.79455,934
3081157.535,1418216.69655,856
3080262.8268999998,1416209.062,930
3080817.9192000004,1416160.2273,930
3080350.6256,1416363.676,928
3081102.094,1416766.2850000001,928
3080139.15,1416234.46505,926
3081108.00465,1416776.925,926
3080110.67,1416235.8817,924
3081167.83,1416802.6400000001,924
3080078.1900000004,1416245.98,922
3081170.6353,1416808.315,922
3080202.0127499998,1416371.52005,920
3080957.4124999996,1416301.5918999999,920
3080180.7311500004,1416373.09875,918
3080969.7380999997,1416299.8939,918
3080656.865,1416823.74,916
3080982.1266,1416299.6306,916
3079924.5116999997,1416216.1959000002,914
3080975.8717,1416250.12775,914
3079880.1997499997,1416220.9131,912
3080988.7688,1416247.4059000001,912
3080597.9050000003,1416893.475,904
3079866.0619,1416233.2524,910
3080857.2441499997,1416859.46,910
3080618.67,1416870.6600000001,908
3080607.33,1416881.45,906
3080754.5,1416941.0550000002,900
3081099.3315500002,1416320.1564,900
3080118.7649999997,1416825.0262,898
3081106.28625,1416308.37585,898
3080588.415,1416905.685,902
3079607.04,1416255.2667,886
3080977.2638499998,1417003.05,886
3079422.635,1416246.51725,868
3080986.675,1417115.45,868
3086751.9000000004,1416471.32855,836
3079701.785,1416256.15375,896
3081112.8263,1416300.7337,896
3079565.605,1416261.9774500001,882
3080979.46515,1417020.595,882
3079583.9299999997,1416261.7208,884
3080986.45735,1417011.6600000001,884
